scenarioId,scenarioType,severity,left_inner_wing,left_outer_wing,right_inner_wing,right_outer_wing,left_horizontal_tail,right_horizontal_tail,vertical_tail,left_aileron_eff,right_aileron_eff,elevator_eff,rudder_eff,thrust_eff,eta_roll,eta_pitch,eta_yaw,eta_total,is_controllable,is_trimmable,trimRiskLevel,decisionMode,simSuccess,simFinalTime_s
1,wing,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.8645,0.995555555555556,0.926666666666667,0.932463888888889,1,1,LOW,NORMAL,1,0.5
2,tail,0.2,0,0,0,0,0.2,0.2,0.2,0,0,0,0,0,1,0.891537777777778,0.777728,0.901047111111111,1,1,LOW,RETURN,1,0.5
3,control,0.2,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0.8,0.8,0.8,0.8,1,1,LOW,RETURN,1,0.5
4,thrust,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,1,1,1,1,1,1,LOW,NORMAL,1,0.5
5,compound,0.2,0.14,0.2,0.04,0.1,0.06,0.1,0.08,0.16,0.12,0.08,0.1,0.14,0.790085928571429,0.875947219171555,0.8487099648,0.839086453868622,1,1,LOW,RETURN,1,0.5
6,wing,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.670089285714286,0.988888888888889,0.816666666666667,0.834253472222222,1,1,LOW,RETURN,1,0.5
7,tail,0.5,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,1,0.742569444444444,0.496375,0.771121527777778,1,1,LOW,RETURN,1,0.5
8,control,0.5,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,1,1,LOW,DIVERT,1,0.5
9,thrust,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1,1,1,1,1,LOW,NORMAL,1,0.5
10,compound,0.5,0.35,0.5,0.1,0.25,0.15,0.25,0.2,0.4,0.3,0.2,0.25,0.35,0.522052455357143,0.706422115555556,0.64595475,0.626775893097222,1,1,LOW,DIVERT,1,0.5
11,wing,0.8,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0.486285714285714,0.982222222222222,0.706666666666667,0.739755555555555,1,1,LOW,RETURN,1,0.5
12,tail,0.8,0,0,0,0,0.8,0.8,0.8,0,0,0,0,0,1,0.609351111111111,0.29808,0.668260444444444,1,1,LOW,DIVERT,1,0.5
13,control,0.8,0,0,0,0,0,0,0,0.8,0.8,0.8,0.8,0,0.2,0.2,0.2,0.2,0,0,CRITICAL,UNRECOVERABLE,1,0.5
14,thrust,0.8,0,0,0,0,0,0,0,0,0,0,0,0.8,1,1,1,1,1,1,LOW,RETURN,1,0.5
15,compound,0.8,0.56,0.8,0.16,0.4,0.24,0.4,0.32,0.64,0.48,0.32,0.4,0.56,0.306448,0.555666663651555,0.4703643648,0.447114556660622,1,1,LOW,EGRESS_PREP,1,0.5
