damageCategory,damageSeverityLevel,featureMode,modelType,flightConditionTag,etaTotalError
wing,low,normalized_summary,ridge,cruise_nominal,0.00203020556802047
wing,low,normalized_summary,ridge,cruise_nominal,0.00076561041653489
wing,low,normalized_summary,ridge,cruise_fast,-0.0041119165080642
wing,low,normalized_summary,ridge,cruise_fast,0.000806337312326821
wing,low,normalized_summary,ridge,cruise_fast,0.0130024746154649
wing,low,normalized_summary,ridge,cruise_fast,-0.000149100089975152
wing,low,normalized_summary,ridge,low_altitude,0.020087334229685
wing,low,normalized_summary,ridge,low_altitude,-0.000791905474615384
wing,low,normalized_summary,ridge,gust_entry,-0.00575355204146533
wing,low,normalized_summary,ridge,gust_entry,-0.019072506438164
tail,low,normalized_summary,ridge,cruise_nominal,0.00549568765095132
tail,low,normalized_summary,ridge,cruise_nominal,-0.00192568902214796
tail,low,normalized_summary,ridge,cruise_fast,-0.00960745713657174
tail,low,normalized_summary,ridge,cruise_fast,-0.0103134217619129
tail,low,normalized_summary,ridge,low_altitude,-0.0112225947246536
tail,low,normalized_summary,ridge,low_altitude,-0.0112212719093573
tail,low,normalized_summary,ridge,low_altitude,-0.00930418356705776
tail,low,normalized_summary,ridge,gust_entry,-0.0265905502327222
tail,low,normalized_summary,ridge,gust_entry,-0.0193481078921527
tail,low,normalized_summary,ridge,gust_entry,-0.0109521246739867
control,low,normalized_summary,ridge,cruise_nominal,-0.00597729593808027
control,low,normalized_summary,ridge,cruise_nominal,0.0296819627172651
control,low,normalized_summary,ridge,cruise_fast,0.00540538127144552
control,low,normalized_summary,ridge,cruise_fast,-0.00972311330001641
control,low,normalized_summary,ridge,low_altitude,-0.0291645586121098
control,low,normalized_summary,ridge,low_altitude,-0.0156492667323648
control,low,normalized_summary,ridge,low_altitude,-0.0180916487585893
control,low,normalized_summary,ridge,low_altitude,-0.0137705728634823
control,low,normalized_summary,ridge,gust_entry,-0.0372017122124487
control,low,normalized_summary,ridge,gust_entry,-0.0543138276565598
