scenarioId,scenarioType,severity,etaErrorMean,oracleDecision,identifiedDecision,decisionMatch,controllabilityMatch,trimInfoConsistency,conservativeDecision,dangerousMismatch,identifierConfidence,identifierUncertainty
1,wing,0.2,0.774673376287901,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.914653709887904,0.0446048722396262
2,wing,0.2,0.774673376287901,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.914653709887904,0.0446048722396262
3,wing,0.2,0.774673376287901,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.914653709887904,0.0446048722396262
4,wing,0.2,0.774673376287901,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.914653709887904,0.0446048722396262
5,wing,0.2,0.774673376287901,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.914653709887904,0.0446048722396262
6,wing,0.2,0.774673376287901,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.914653709887904,0.0446048722396262
7,wing,0.2,0.774673376287901,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.914653709887904,0.0446048722396262
8,wing,0.2,0.774673376287901,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.914653709887904,0.0446048722396262
9,wing,0.2,0.774673376287901,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.914653709887904,0.0446048722396262
10,wing,0.2,0.774673376287901,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.914653709887904,0.0446048722396262
11,wing,0.2,0.774673376287901,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.914653709887904,0.0446048722396262
12,wing,0.2,0.774673376287901,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.914653709887904,0.0446048722396262
13,tail,0.2,0.781668486159829,RETURN,UNRECOVERABLE,0,0,0,1,0,0.908847608963507,0.0477889228819019
14,tail,0.2,0.781668486159829,RETURN,UNRECOVERABLE,0,0,0,1,0,0.908847608963507,0.0477889228819019
15,tail,0.2,0.781668486159829,RETURN,UNRECOVERABLE,0,0,0,1,0,0.908847608963507,0.0477889228819019
16,tail,0.2,0.781668486159829,RETURN,UNRECOVERABLE,0,0,0,1,0,0.908847608963507,0.0477889228819019
17,tail,0.2,0.781668486159829,RETURN,UNRECOVERABLE,0,0,0,1,0,0.908847608963507,0.0477889228819019
18,tail,0.2,0.781668486159829,RETURN,UNRECOVERABLE,0,0,0,1,0,0.908847608963507,0.0477889228819019
19,tail,0.2,0.781668486159829,RETURN,UNRECOVERABLE,0,0,0,1,0,0.908847608963507,0.0477889228819019
20,tail,0.2,0.781668486159829,RETURN,UNRECOVERABLE,0,0,0,1,0,0.908847608963507,0.0477889228819019
21,tail,0.2,0.781668486159829,RETURN,UNRECOVERABLE,0,0,0,1,0,0.908847608963507,0.0477889228819019
22,tail,0.2,0.781668486159829,RETURN,UNRECOVERABLE,0,0,0,1,0,0.908847608963507,0.0477889228819019
23,tail,0.2,0.781668486159829,RETURN,UNRECOVERABLE,0,0,0,1,0,0.908847608963507,0.0477889228819019
24,tail,0.2,0.781668486159829,RETURN,UNRECOVERABLE,0,0,0,1,0,0.908847608963507,0.0477889228819019
25,control,0.2,0.792206943011151,RETURN,UNRECOVERABLE,0,0,0,1,0,0.889136637004833,0.0587521789301054
26,control,0.2,0.792206943011151,RETURN,UNRECOVERABLE,0,0,0,1,0,0.889136637004833,0.0587521789301054
27,control,0.2,0.792206943011151,RETURN,UNRECOVERABLE,0,0,0,1,0,0.889136637004833,0.0587521789301054
28,control,0.2,0.792206943011151,RETURN,UNRECOVERABLE,0,0,0,1,0,0.889136637004833,0.0587521789301054
29,control,0.2,0.792206943011151,RETURN,UNRECOVERABLE,0,0,0,1,0,0.889136637004833,0.0587521789301054
30,control,0.2,0.792206943011151,RETURN,UNRECOVERABLE,0,0,0,1,0,0.889136637004833,0.0587521789301054
31,control,0.2,0.792206943011151,RETURN,UNRECOVERABLE,0,0,0,1,0,0.889136637004833,0.0587521789301054
32,control,0.2,0.792206943011151,RETURN,UNRECOVERABLE,0,0,0,1,0,0.889136637004833,0.0587521789301054
33,control,0.2,0.792206943011151,RETURN,UNRECOVERABLE,0,0,0,1,0,0.889136637004833,0.0587521789301054
34,control,0.2,0.792206943011151,RETURN,UNRECOVERABLE,0,0,0,1,0,0.889136637004833,0.0587521789301054
35,control,0.2,0.792206943011151,RETURN,UNRECOVERABLE,0,0,0,1,0,0.889136637004833,0.0587521789301054
36,control,0.2,0.792206943011151,RETURN,UNRECOVERABLE,0,0,0,1,0,0.889136637004833,0.0587521789301054
37,thrust,0.2,0.759171806359357,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.823592902116733,0.0970394609925976
38,thrust,0.2,0.759171806359357,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.823592902116733,0.0970394609925976
39,thrust,0.2,0.759171806359357,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.823592902116733,0.0970394609925976
40,thrust,0.2,0.759171806359357,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.823592902116733,0.0970394609925976
41,thrust,0.2,0.759171806359357,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.823592902116733,0.0970394609925976
42,thrust,0.2,0.759171806359357,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.823592902116733,0.0970394609925976
43,thrust,0.2,0.759171806359357,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.823592902116733,0.0970394609925976
44,thrust,0.2,0.759171806359357,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.823592902116733,0.0970394609925976
45,thrust,0.2,0.759171806359357,NORMAL,UNRECOVERABLE,0,0,0,1,0,0.823592902116733,0.0970394609925976
